"State","County","Year","Days with AQI","Good Days","Moderate Days","Unhealthy for Sensitive Groups Days","Unhealthy Days","Very Unhealthy Days","Hazardous Days","Max AQI","90th Percentile AQI","Median AQI","Days CO","Days NO2","Days Ozone","Days PM2.5","Days PM10"
"Alabama","Baldwin",2025,241,174,67,0,0,0,0,87,56,42,0,0,91,150,0
"Alabama","Clay",2025,239,204,34,1,0,0,0,133,52,32,0,0,0,239,0
"Alabama","DeKalb",2025,243,191,52,0,0,0,0,93,55,42,0,0,156,87,0
"Alabama","Elmore",2025,177,172,5,0,0,0,0,64,46,32,0,0,177,0,0
"Alabama","Etowah",2025,241,153,88,0,0,0,0,87,58,45,0,0,72,169,0
"Alabama","Jefferson",2025,182,67,114,1,0,0,0,112,70,53,1,2,23,156,0
"Alabama","Lawrence",2025,19,19,0,0,0,0,0,36,34,23,0,0,0,19,0
"Alabama","Madison",2025,181,136,45,0,0,0,0,72,56,42,0,0,66,115,0
"Alabama","Mobile",2025,241,168,73,0,0,0,0,80,55,43,0,0,74,167,0
"Alabama","Montgomery",2025,237,155,82,0,0,0,0,90,57,44,0,0,49,188,0
"Alabama","Morgan",2025,243,197,46,0,0,0,0,71,54,42,0,0,89,154,0
"Alabama","Russell",2025,201,163,38,0,0,0,0,88,54,38,0,0,137,64,0
"Alabama","Shelby",2025,182,174,8,0,0,0,0,80,47,33,0,0,182,0,0
"Alabama","Sumter",2025,242,192,50,0,0,0,0,90,54,41,0,0,51,191,0
"Alabama","Tuscaloosa",2025,243,186,57,0,0,0,0,93,54,41,0,0,74,169,0
"Alaska","Aleutians East ",2025,20,19,1,0,0,0,0,58,32,11,0,0,0,20,0
"Alaska","Anchorage ",2025,182,147,34,1,0,0,0,110,61,24,4,0,0,70,108
"Alaska","Denali ",2025,217,217,0,0,0,0,0,49,44,38,0,0,217,0,0
"Alaska","Fairbanks North Star ",2025,182,112,60,6,4,0,0,190,87,42,1,0,77,104,0
"Alaska","Juneau ",2025,181,154,26,1,0,0,0,138,57,21,0,0,0,181,0
"Alaska","Kenai Peninsula ",2025,20,20,0,0,0,0,0,14,13,8,0,0,0,20,0
"Alaska","Matanuska-Susitna ",2025,176,159,15,2,0,0,0,141,48,7,0,0,0,89,87
"Alaska","North Slope ",2025,19,19,0,0,0,0,0,27,19,7,0,0,0,19,0
"Arizona","Apache",2025,270,269,1,0,0,0,0,52,31,14,0,0,0,0,270
"Arizona","Cochise",2025,273,179,90,2,1,0,1,328,77,46,0,0,190,0,83
"Arizona","Coconino",2025,267,167,98,2,0,0,0,113,74,48,0,0,265,2,0
"Arizona","Gila",2025,273,142,116,14,1,0,0,196,93,50,0,0,230,0,43
"Arizona","La Paz",2025,271,186,84,0,0,1,0,253,71,47,0,0,246,15,10
"Arizona","Maricopa",2025,304,50,219,29,4,1,1,366,101,71,0,0,190,37,77
