"State","County","Year","Days with AQI","Good Days","Moderate Days","Unhealthy for Sensitive Groups Days","Unhealthy Days","Very Unhealthy Days","Hazardous Days","Max AQI","90th Percentile AQI","Median AQI","Days CO","Days NO2","Days Ozone","Days PM2.5","Days PM10"
"Alabama","Baldwin",2024,355,278,77,0,0,0,0,90,58,40,0,0,127,228,0
"Alabama","Clay",2024,354,307,47,0,0,0,0,75,52,29,0,0,0,354,0
"Alabama","DeKalb",2024,366,277,89,0,0,0,0,87,57,43,0,0,242,124,0
"Alabama","Elmore",2024,234,231,3,0,0,0,0,58,46,37,0,0,234,0,0
"Alabama","Etowah",2024,362,212,150,0,0,0,0,93,60,47,0,0,84,278,0
"Alabama","Jefferson",2024,366,95,265,6,0,0,0,119,79,57,0,0,73,293,0
"Alabama","Lawrence",2024,110,95,15,0,0,0,0,86,54,33,0,0,0,110,0
"Alabama","Madison",2024,363,254,109,0,0,0,0,100,58,44,0,0,135,227,1
"Alabama","Mobile",2024,365,242,123,0,0,0,0,80,58,45,0,0,92,271,2
"Alabama","Montgomery",2024,358,247,110,1,0,0,0,102,57,42,0,0,102,255,1
"Alabama","Morgan",2024,366,264,102,0,0,0,0,81,58,44,0,0,128,238,0
"Alabama","Russell",2024,277,223,54,0,0,0,0,98,55,42,0,0,178,99,0
"Alabama","Shelby",2024,239,216,23,0,0,0,0,97,50,40,0,0,239,0,0
"Alabama","Sumter",2024,366,309,57,0,0,0,0,73,53,36,0,0,116,250,0
"Alabama","Tuscaloosa",2024,359,318,39,2,0,0,0,125,53,37,0,0,173,186,0
"Alaska","Aleutians East ",2024,112,111,1,0,0,0,0,53,28,13,0,0,0,112,0
"Alaska","Anchorage ",2024,366,297,69,0,0,0,0,90,55,24,10,0,0,250,106
"Alaska","Denali ",2024,362,357,5,0,0,0,0,77,43,35,0,0,358,4,0
"Alaska","Fairbanks North Star ",2024,366,213,128,15,8,1,1,325,89,42,0,0,128,233,5
"Alaska","Juneau ",2024,356,304,52,0,0,0,0,84,55,24,0,0,0,356,0
"Alaska","Kenai Peninsula ",2024,122,122,0,0,0,0,0,42,17,8,0,0,0,122,0
"Alaska","Matanuska-Susitna ",2024,359,331,28,0,0,0,0,95,43,15,0,0,0,324,35
"Alaska","North Slope ",2024,120,120,0,0,0,0,0,32,17,5,0,0,0,120,0
"Arizona","Apache",2024,352,350,2,0,0,0,0,57,26,14,0,0,0,55,297
"Arizona","Cochise",2024,366,225,128,11,1,0,1,307,80,48,0,0,325,0,41
"Arizona","Coconino",2024,366,250,111,5,0,0,0,136,74,46,0,0,356,10,0
"Arizona","Gila",2024,366,193,144,27,2,0,0,159,97,50,0,0,341,1,24
"Arizona","La Paz",2024,363,224,135,4,0,0,0,105,77,47,0,0,355,5,3
"Arizona","Maricopa",2024,366,33,260,65,7,1,0,261,113,77,0,0,207,94,65
"Arizona","Mohave",2024,352,347,5,0,0,0,0,69,30,19,0,0,0,1,351
"Arizona","Navajo",2024,361,359,2,0,0,0,0,53,22,13,0,0,0,78,283
"Arizona","Pima",2024,366,113,241,10,2,0,0,171,87,56,0,0,217,107,42
"Arizona","Pinal",2024,366,77,219,65,3,1,1,337,111,77,0,0,158,43,165
"Arizona","Santa Cruz",2024,361,213,139,8,0,0,1,494,72,43,0,0,0,281,80
"Arizona","Yavapai",2024,366,225,139,2,0,0,0,115,80,47,0,0,365,1,0
"Arizona","Yuma",2024,365,212,149,3,1,0,0,179,74,47,0,0,216,58,91
"Arkansas","Arkansas",2024,118,72,46,0,0,0,0,98,60,46,0,0,0,118,0
"Arkansas","Ashley",2024,121,77,44,0,0,0,0,96,60,41,0,0,0,121,0
"Arkansas","Clark",2024,360,336,24,0,0,0,0,93,48,35,0,0,360,0,0
"Arkansas","Crittenden",2024,366,294,67,5,0,0,0,133,58,41,0,1,299,66,0
"Arkansas","Garland",2024,118,63,55,0,0,0,0,97,62,50,0,0,0,118,0
"Arkansas","Jackson",2024,117,83,34,0,0,0,0,95,59,39,0,0,0,117,0
"Arkansas","Newton",2024,366,334,32,0,0,0,0,87,50,39,0,0,337,29,0
"Arkansas","Polk",2024,324,261,62,0,1,0,0,167,56,38,0,0,234,90,0
"Arkansas","Pulaski",2024,366,118,242,5,0,1,0,205,76,55,0,0,56,310,0
"Arkansas","Union",2024,121,62,59,0,0,0,0,93,62,49,0,0,0,121,0
"Arkansas","Washington",2024,366,304,61,1,0,0,0,101,54,41,0,0,299,67,0
"California","Alameda",2024,366,194,171,1,0,0,0,105,63,49,0,0,14,352,0
"California","Amador",2024,359,281,72,6,0,0,0,143,74,40,0,0,359,0,0
"California","Butte",2024,366,231,133,0,1,1,0,213,71,46,0,0,243,115,8
"California","Calaveras",2024,359,261,90,8,0,0,0,129,74,42,0,0,273,86,0
"California","Colusa",2024,366,68,298,0,0,0,0,90,63,54,0,0,31,331,4
"California","Contra Costa",2024,361,193,168,0,0,0,0,94,63,48,0,0,13,348,0
"California","Del Norte",2024,289,232,55,2,0,0,0,125,54,32,0,0,0,289,0
