State,County,max_aqi,p90_aqi,median_aqi,mean_days_unhealthy,mean_days_sensitive,risk_label
California,Mono,8368,224,28.333333333333332,5.5,5.333333333333333,Extreme Risk
Arizona,Maricopa,366,216,88.16666666666667,27.0,63.166666666666664,Extreme Risk
California,San Bernardino,593,185,84.16666666666667,54.833333333333336,66.66666666666667,Extreme Risk
California,Riverside,1683,174,84.33333333333333,39.333333333333336,82.5,Extreme Risk
California,Plumas,755,170,53.666666666666664,8.666666666666666,16.666666666666668,Extreme Risk
California,Trinity,1217,168,33.833333333333336,6.666666666666667,4.666666666666667,Extreme Risk
Texas,El Paso,2122,158,63.666666666666664,3.8333333333333335,25.333333333333332,Extreme Risk
California,Fresno,346,154,66.66666666666667,11.5,55.5,Extreme Risk
California,Tulare,961,154,72.83333333333333,20.5,79.33333333333333,Extreme Risk
California,Kern,314,147,74.83333333333333,17.0,76.66666666666667,Extreme Risk
Oregon,Klamath,763,134,41.333333333333336,9.666666666666666,10.0,Extreme Risk
California,Inyo,1551,130,58.666666666666664,7.5,17.166666666666668,Extreme Risk
New Mexico,Dona Ana,692,130,57.833333333333336,4.666666666666667,19.5,Extreme Risk
California,Kings,685,124,62.333333333333336,4.5,34.333333333333336,Extreme Risk
Arizona,Pinal,1215,121,68.5,3.8333333333333335,45.666666666666664,Extreme Risk
Alaska,Fairbanks North Star ,325,118,41.5,13.666666666666666,16.333333333333332,Extreme Risk
Oregon,Lane,1000,116,44.833333333333336,6.333333333333333,6.333333333333333,Extreme Risk
California,Nevada,326,115,44.666666666666664,4.5,10.333333333333334,Extreme Risk
California,Placer,692,115,53.666666666666664,4.666666666666667,17.0,Extreme Risk
California,Mariposa,1073,111,47.166666666666664,7.166666666666667,12.666666666666666,Extreme Risk
Puerto Rico,Catano,332,111,43.333333333333336,3.3333333333333335,9.5,Extreme Risk
California,Butte,508,110,50.0,4.5,6.5,Extreme Risk
California,Imperial,791,108,61.5,4.166666666666667,30.333333333333332,Extreme Risk
Nevada,Clark,480,101,63.333333333333336,1.8333333333333333,27.166666666666668,Extreme Risk
California,Sacramento,381,100,52.166666666666664,3.6666666666666665,15.666666666666666,Extreme Risk
New Mexico,Bernalillo,825,100,60.333333333333336,1.8333333333333333,15.5,Extreme Risk
Oregon,Jackson,900,99,44.0,5.666666666666667,3.1666666666666665,Extreme Risk
Nevada,Washoe,333,95,50.5,4.166666666666667,5.666666666666667,Extreme Risk
California,El Dorado,375,93,42.666666666666664,2.0,9.833333333333334,Extreme Risk
California,Shasta,1435,93,44.166666666666664,2.3333333333333335,5.833333333333333,Extreme Risk
California,San Luis Obispo,334,90,51.333333333333336,1.1666666666666667,9.166666666666666,Extreme Risk
California,Sutter,356,90,51.666666666666664,3.0,7.5,Extreme Risk
Washington,Yakima,743,90,44.333333333333336,3.1666666666666665,5.0,Extreme Risk
Arizona,Pima,357,87,54.833333333333336,0.8333333333333334,9.5,Extreme Risk
Wyoming,Campbell,584,87,44.666666666666664,0.6666666666666666,5.833333333333333,Extreme Risk
California,Siskiyou,468,86,35.5,6.666666666666667,4.333333333333333,Extreme Risk
Washington,Okanogan,618,86,45.166666666666664,3.1666666666666665,2.1666666666666665,Extreme Risk
California,Los Angeles,281,166,77.0,34.0,66.83333333333333,High Risk
Country Of Mexico,BAJA CALIFORNIA NORTE,187,158,83.33333333333333,20.666666666666668,35.0,High Risk
Idaho,Boise,265,138,44.0,6.333333333333333,5.833333333333333,High Risk
Texas,Cameron,184,124,53.666666666666664,2.6666666666666665,11.333333333333334,High Risk
Texas,Harris,205,121,60.333333333333336,7.166666666666667,24.333333333333332,High Risk
Colorado,Jefferson,174,115,48.333333333333336,3.8333333333333335,26.333333333333332,High Risk
California,Madera,275,113,53.833333333333336,3.8333333333333335,19.0,High Risk
Colorado,Larimer,161,112,52.166666666666664,1.5,18.666666666666668,High Risk
California,Orange,218,108,53.666666666666664,3.0,13.5,High Risk
California,San Diego,192,108,66.0,4.0,30.5,High Risk
Colorado,Douglas,177,108,47.833333333333336,2.8333333333333335,17.833333333333332,High Risk
Utah,Salt Lake,230,108,55.833333333333336,2.6666666666666665,25.833333333333332,High Risk
Wisconsin,Rock,177,108,41.166666666666664,0.3333333333333333,4.166666666666667,High Risk
California,Stanislaus,195,105,55.0,3.6666666666666665,24.5,High Risk
Colorado,Arapahoe,161,101,47.5,1.1666666666666667,13.333333333333334,High Risk
Colorado,Weld,164,101,53.0,0.6666666666666666,15.166666666666666,High Risk
Utah,Uintah,215,101,49.5,3.3333333333333335,9.333333333333334,High Risk
California,Merced,194,100,52.166666666666664,3.0,18.333333333333332,High Risk
California,Tehama,218,100,43.333333333333336,5.666666666666667,7.333333333333333,High Risk
Colorado,Boulder,181,100,49.833333333333336,1.3333333333333333,12.333333333333334,High Risk
Colorado,Denver,179,100,53.833333333333336,1.5,15.166666666666666,High Risk
New Mexico,Eddy,179,100,48.333333333333336,0.8333333333333334,22.166666666666668,High Risk
Wisconsin,Sheboygan,207,100,41.0,1.0,6.5,High Risk
